wallet,from_address,to_address,hash,block,timestamp,tx_type,method_id,direction,asset,amount,token_amount,chain
0x5b6eace4229dd1dde6c3b7ac2a8372fa9be5ea87,0x404e927b203375779a6abd52a2049ce0adf6609b,0x5b6eace4229dd1dde6c3b7ac2a8372fa9be5ea87,0x144f32f8076a808e646e1400341d466e5d242ee32d2ced64f981e993d029891c,0xa7a0bb,1708760665,erc20,0x7ff36ab5,in,BRETT,2260344.6229225807,0x1dea5870ca903bc9ba188,base
0x0d5e00266ac965cb486e1685156ea37bd61649e5,0xfd92f4e91d54b9ef91cc3f97c011a6af0c2a7eda,0x0d5e00266ac965cb486e1685156ea37bd61649e5,0x4058b8576e30e851fc5f383a8ce4108f407aa4bff5a00bcaaeaf9e8b42b8aeab,0xa73742,1708706663,external,0x,in,ETH,0.1,0x16345785d8a0000,base
0x0d5e00266ac965cb486e1685156ea37bd61649e5,0x404e927b203375779a6abd52a2049ce0adf6609b,0x0d5e00266ac965cb486e1685156ea37bd61649e5,0x88b1296105a22eb8b0e9ea18d46e09ac2d92a77ac56776de2463ec7dfe688384,0xa79c8f,1708758529,erc20,0x7ff36ab5,in,BRETT,45381663.34031973,0x2589f0e633df869f92a823,base
0x0d5e00266ac965cb486e1685156ea37bd61649e5,0x404e927b203375779a6abd52a2049ce0adf6609b,0x0d5e00266ac965cb486e1685156ea37bd61649e5,0x98058ac302fc7456c5069d3b4fa83a1eb078a1b006efa7fe8baa66b0dd04d715,0xa7a0c7,1708760689,erc20,0x7ff36ab5,in,BRETT,2363838.1927553895,0x1f48fecd9df854a755d8c,base
0x0a643f60b068f7f6d68508eee524a027468d31dd,0xfd92f4e91d54b9ef91cc3f97c011a6af0c2a7eda,0x0a643f60b068f7f6d68508eee524a027468d31dd,0x0c94ef31c84d21c0bd8822b6356827933a6128844cf81c61c17cd8186f6284eb,0xa72515,1708697357,external,0x,in,ETH,0.05,0xb1a2bc2ec50000,base
0x0a643f60b068f7f6d68508eee524a027468d31dd,0x404e927b203375779a6abd52a2049ce0adf6609b,0x0a643f60b068f7f6d68508eee524a027468d31dd,0xe5cdf168967850298c7323c7ec04a7177d0cf5f8178fb44a90fb29696010ef69,0xa79c50,1708758403,erc20,0xfb3bdb41,in,BRETT,100000000.0,0x52b7d2dcc80cd2e4000000,base
0x0a643f60b068f7f6d68508eee524a027468d31dd,0x0a643f60b068f7f6d68508eee524a027468d31dd,0x404e927b203375779a6abd52a2049ce0adf6609b,0x6f5dca075ec5c5ad6a91ea14383b7813cf4303638a79633c5adeaf56b6d8ca4a,0xa79c65,1708758445,erc20,0x791ac947,out,BRETT,100000000.0,0x52b7d2dcc80cd2e4000000,base
0x0a643f60b068f7f6d68508eee524a027468d31dd,0x404e927b203375779a6abd52a2049ce0adf6609b,0x0a643f60b068f7f6d68508eee524a027468d31dd,0x3741a404593b7a0b26be2cf54c3f58dbe51087efdafbbfb12d7badf430ef6902,0xa79d72,1708758983,erc20,0x7ff36ab5,in,BRETT,27883185.766667243,0x17107e8779c62ed780f9f8,base
0xbe2b77aa2e86130541febed8521ddac791a018a4,0xfd92f4e91d54b9ef91cc3f97c011a6af0c2a7eda,0xbe2b77aa2e86130541febed8521ddac791a018a4,0xac61406ea284e4dbea73561264278ffaf87277003c7872997cc216f20ba1b15f,0xa742cf,1708712577,external,0x,in,ETH,0.15,0x214e8348c4f0000,base
0xbe2b77aa2e86130541febed8521ddac791a018a4,0x404e927b203375779a6abd52a2049ce0adf6609b,0xbe2b77aa2e86130541febed8521ddac791a018a4,0xdd58214e8db2fd59af7ca0534addbb104af9f1456a648b8383fd2b8b04ccd140,0xa79d12,1708758791,erc20,0xfb3bdb41,in,BRETT,87162506.0,0x481960eb10bb1173e80000,base
0xbe2b77aa2e86130541febed8521ddac791a018a4,0xbe2b77aa2e86130541febed8521ddac791a018a4,0x404e927b203375779a6abd52a2049ce0adf6609b,0xbe1bdfc9d0efc5b0e8f7eef94e76c6d540d6c1c2b71c883f8873679e418cfc0d,0xa79d24,1708758827,erc20,0x791ac947,out,BRETT,87162506.0,0x481960eb10bb1173e80000,base
0xbe2b77aa2e86130541febed8521ddac791a018a4,0x404e927b203375779a6abd52a2049ce0adf6609b,0xbe2b77aa2e86130541febed8521ddac791a018a4,0xb96c739bb916c0cfeff2c38bf0558ba316e76889cfc0ba45bc8fffa51852c076,0xa79e56,1708759439,erc20,0x7ff36ab5,in,BRETT,10528759.747522406,0x8b58d35a7d3b3aaf6f41b,base
0xbe2b77aa2e86130541febed8521ddac791a018a4,0x404e927b203375779a6abd52a2049ce0adf6609b,0xbe2b77aa2e86130541febed8521ddac791a018a4,0xee7ef1f9662b67e1257d14ad52b1b92e43d15d6997c639abb0c2f4d8e5e7cf2a,0xa7a097,1708760593,erc20,0x7ff36ab5,in,BRETT,1949147.8272347318,0x19cbf83f3d234179a19cc,base
0xe6216b6afb96c770f252b2cf704343f35cefbe4e,0xfd92f4e91d54b9ef91cc3f97c011a6af0c2a7eda,0xe6216b6afb96c770f252b2cf704343f35cefbe4e,0xa11e68fb7cd4426fbf05bb774e2a4b4b77a127221fab6e0e51464ec828ced846,0xa74473,1708713417,external,0x,in,ETH,0.4,0x58d15e176280000,base
0xe6216b6afb96c770f252b2cf704343f35cefbe4e,0x404e927b203375779a6abd52a2049ce0adf6609b,0xe6216b6afb96c770f252b2cf704343f35cefbe4e,0x3bf07570e0611ecfe14c37773fc61bbebefd39a36070f0ff86bf64def5b99d25,0xa79d0e,1708758783,erc20,0xfb3bdb41,in,BRETT,84745819.0,0x4619a00dae738e388c0000,base
0xe6216b6afb96c770f252b2cf704343f35cefbe4e,0xe6216b6afb96c770f252b2cf704343f35cefbe4e,0x404e927b203375779a6abd52a2049ce0adf6609b,0x142cf4024703804c4e781557a1a577721bff65ee0a7f2a9e046e894329bef008,0xa79d24,1708758827,erc20,0x791ac947,out,BRETT,84745819.0,0x4619a00dae738e388c0000,base
